PMID,title,year,journal,authors
39195257,Signalling Pathways of Inflammation and Cancer in Human Mononuclear Cells: Effect of Nanoparticle Air Pollutants.,2024,Cells,
39169074,Influence of meteorological conditions on the variability of indoor and outdoor particulate matter concentrations in a selected Polish health resort.,2024,Scientific reports,
39152189,Airborne particulate matter measurement and prediction with machine learning techniques.,2024,Scientific reports,
39151000,Aspirational nitrogen interventions accelerate air pollution abatement and ecosystem protection.,2024,Science advances,
39125048,"Determination of Cotinine, 3'-Hydroxycotinine and Nicotine 1'-Oxide in Urine of Passive and Active Young Smokers by LC-Orbitrap-MS/MS Technique.",2024,"Molecules (Basel, Switzerland)",
39103537,Size-resolved particulate matter inside selected fire stations and preliminary evaluation of the effectiveness of washing machines in reducing its concentrations.,2024,Scientific reports,
39100950,Assessment of parameters reflecting the reactivity of the autonomic nervous system of Polish firefighters on the basis of a test in a smoke chamber.,2024,Frontiers in public health,
39094896,A review of relevant parameters for assessing indoor air quality in educational facilities.,2024,Environmental research,
39085440,Particulate matter hinders the development and reproduction of predatory mites of Euseius finlandicus (Acariformes: Phytoseiidae).,2024,Scientific reports,
39062135,Air Pollution Increases Risk of Occurrence of Intracerebral Haemorrhage but Not of Subarachnoid Haemorrhage: Time-Series Cross-Sectional Study.,2024,Biomedicines,
39046596,Fungal aerosol and particulate matter in horse stables in Poland.,2024,Applied microbiology and biotechnology,
39032739,"Seasonality of mercury and its fractions in microplastics biofilms -comparison to natural biofilms, suspended particulate matter and bottom sediment.",2024,The Science of the total environment,
39030249,"Machine learning analysis of PM1 impact on visibility with comprehensive sensitivity evaluation of concentration, composition, and meteorological factors.",2024,Scientific reports,
39016528,Interplay between gender and pollution on the prognosis of resuscitated out-of-hospital cardiac arrest.,2024,Minerva medica,
38969703,Air quality in a revitalized special economic zone at the center of an urban monocentric agglomeration.,2024,Scientific reports,
38969122,Atmospheric emissions of particulate matter-bound heavy metals from industrial sources.,2024,The Science of the total environment,
38940106,Opinion of teenagers on smoking-free policy in public places and its determinants - evidence from a global youth tobacco survey in five European countries.,2024,Annals of agricultural and environmental medicine : AAEM,
38932961,Productivity of Spitsbergen fjords ecosystems in summer-Spatial changes of in situ primary production in Kongsfjorden and Hornsund in the period 1994-2019.,2024,Ecology and evolution,
38921290,Does Exposure to Ambient Air Pollution Affect Gestational Age and Newborn Weight?-A Systematic Review.,2024,"Healthcare (Basel, Switzerland)",
38919266,Pregnancy outcomes as related to in utero exposure to air pollution and greenness: The Life-GAP Project.,2024,"Environmental epidemiology (Philadelphia, Pa.)",
38918482,Associations of air pollution with acute coronary syndromes based on A/B/AB versus O blood types: case-crossover study.,2024,Scientific reports,
38892239,Molecular Mechanisms of N-Acetylcysteine in RSV Infections and Air Pollution-Induced Alterations: A Scoping Review.,2024,International journal of molecular sciences,
38885074,Urban meadow-a recipe for long-lasting anti-smog land cover.,2024,International journal of phytoremediation,
38863619,Environmental pollution and extreme weather conditions: insights into the effect on mental health.,2024,Frontiers in psychiatry,
38821462,Associations of long-term exposure to air pollution and greenness with incidence of chronic obstructive pulmonary disease in Northern Europe: The Life-GAP project.,2024,Environmental research,
38818229,"Corrigendum: Time-Trends in Air Pollution Impact on Health in Italy, 1990-2019: An Analysis from the Global Burden of Disease Study 2019.",2024,International journal of public health,
38810681,Spatial variability of pollution source contributions during two (2012-2013 and 2018-2019) sampling campaigns at ten sites in Los Angeles basin.,2024,"Environmental pollution (Barking, Essex : 1987)",
38806980,Seasonal toxicity of urban road dust in runoff process-studies in Poland.,2024,Environmental science and pollution research international,
38783343,The impact of exposure to tobacco smoke and e-cigarettes on asthma-related outcomes: Systematic review informing the EAACI guidelines on environmental science for allergic diseases and asthma.,2024,Allergy,
38777047,Association between ambient air pollution and dry eye symptoms among Chinese individuals during the COVID-19 pandemic: A national-based study.,2024,The Science of the total environment,
38748312,"Relation Between Exposure to Tobacco Smoke Assessed by Serum Cotinine Concentration and Questionnaire Method, and Serum Renalase Concentration-the Importance of the Coexistence of Arterial Hypertension and Other Cardiovascular Diseases.",2024,Cardiovascular toxicology,
38723686,Viral respiratory infections and air pollution: A review focused on research in Poland.,2024,Chemosphere,
38685296,Does diet quality moderate the long-term effects of discrete but extreme PM(2.5) exposure on respiratory symptoms? A study of the Hazelwood coalmine fire.,2024,Environmental research,
38665621,Effect of air pollution exposure on risk of acute coronary syndromes in Poland: a nationwide population-based study (EP-PARTICLES study).,2024,The Lancet regional health. Europe,
38657893,Assessment of Portuguese fitness centers: Bridging the knowledge gap on harmful microbial contamination with focus on fungi.,2024,"Environmental pollution (Barking, Essex : 1987)",
38644408,Statistical data pre-processing and time series incorporation for high-efficacy calibration of low-cost NO(2) sensor using machine learning.,2024,Scientific reports,
38621354,"Mercury dynamics at the base of the pelagic food web of the Gulf of Gdańsk, southern Baltic Sea.",2024,Marine pollution bulletin,
38611776,"Uncontrolled Post-Industrial Landfill-Source of Metals, Potential Toxic Compounds, Dust, and Pathogens in Environment-A Case Study.",2024,"Molecules (Basel, Switzerland)",
38582160,"Chemical composition and source apportionment of ambient PM2.5 in a coastal urban area, Northern Poland.",2024,Chemosphere,
38549472,Relationship between concentration of air pollutants and frequency of hospitalisations due to respiratory diseases.,2024,Annals of agricultural and environmental medicine : AAEM,
38538757,Source attribution of carbonaceous fraction of particulate matter in the urban atmosphere based on chemical and carbon isotope composition.,2024,Scientific reports,
38533120,"Dataset on exposure conditions to Fe(2)O(3) and SiO(2) colloidal suspension and airborne particulate matter (PM) suspensions: crude NIST1648a and with reduced content of organic matter, LAp120.",2024,Data in brief,
38485217,Association of national smoke-free policies with per-capita cigarette consumption and acute myocardial infarction mortality in Europe.,2024,Journal of epidemiology and community health,
38475219,Indication Variability of the Particulate Matter Sensors Dependent on Their Location.,2024,"Sensors (Basel, Switzerland)",
38474996,A Multisensor Device Intended as an IoT Element for Indoor Environment Monitoring.,2024,"Sensors (Basel, Switzerland)",
38460699,Photoreactivity of polycyclic aromatic hydrocarbons (PAHs) and their mechanisms of phototoxicity against human immortalized keratinocytes (HaCaT).,2024,The Science of the total environment,
38457880,Application of various molecular markers for investigating petrogenic inputs in coastal systems strongly impacted by anthropogenic stressors.,2024,Marine pollution bulletin,
38413934,Exposure to chemical pollutants and biological aerosol in indoor facilities for recreational and sport horses.,2024,BMC veterinary research,
38394073,"Comparison of the effects of active and passive smoking of tobacco cigarettes, electronic nicotine delivery systems and tobacco heating products on the expression and secretion of oxidative stress and inflammatory response markers. A systematic review.",2024,Inhalation toxicology,
38385199,The association between air pollutions and emergency hospitalizations due to COPD and asthma across 16 Polish cities: population-based study.,2024,International journal of occupational medicine and environmental health,
38337439,Direct Exposure to Outdoor Air Pollution Worsens the Functional Status of Stroke Patients Treated with Mechanical Thrombectomy.,2024,Journal of clinical medicine,
38321084,Air pollution seasons in urban moderate climate areas through big data analytics.,2024,Scientific reports,
38311978,The impact of outdoor pollution and extreme temperatures on asthma-related outcomes: A systematic review for the EAACI guidelines on environmental science for allergic diseases and asthma.,2024,Allergy,
38280167,"Source apportionment of suspended particulate matter (PM(1), PM(2.5) and PM(10)) collected in road and tram tunnels in Krakow, Poland.",2024,Environmental science and pollution research international,
38248800,The Relationship between Fine Particle Matter (PM2.5) Exposure and Upper Respiratory Tract Diseases.,2024,Journal of personalized medicine,
38244973,Upgrading recovered carbon black (rCB) from industrial-scale end-of-life tires (ELTs) pyrolysis to activated carbons: Material characterization and CO(2) capture abilities.,2024,Environmental research,
38192156,Prevalent occupational exposures and risk of lung cancer among women: Results from the application of the Canadian Job-Exposure Matrix (CANJEM) to a combined set of ten case-control studies.,2024,American journal of industrial medicine,
38181950,The cellular consequences of particulate matter pollutants in plants: Safeguarding the harmonious integration of structure and function.,2024,The Science of the total environment,
38172170,Exposure to air pollution and ovarian reserve parameters.,2024,Scientific reports,
38165542,Fresh air in the city: the impact of air pollution on the pricing of real estate.,2024,Environmental science and pollution research international,
38128996,"Spotlight on autochthonous microbiota, morpho-textural characteristics, and volatilome of a traditional Polish cold-smoked raw sausage.",2024,"Food research international (Ottawa, Ont.)",
38108987,Measuring magnetic susceptibility of particulate matter collected on filters.,2024,Environmental science and pollution research international,
38056638,Neutral saccharides and hemicellulose over two urban sites in Indo-Gangetic Plain and Central Europe during winter.,2024,The Science of the total environment,
38037701,Does PM 2.5 and PM 10-associated heavy metals affect short-term and long-term survival after out-of-hospital cardiac arrest? Four-year study based on regional registry.,2024,Minerva medica,
37976582,Air pollution inside fire stations: State-of-the-art and future challenges.,2024,International journal of hygiene and environmental health,
37944764,Health risk assessment of heavy metals in exposed workers of municipal waste recycling facility in Iran.,2024,Chemosphere,
37939964,The seasonality of the concentration of endocrine phenolic compounds in the matter attached to the surface of microplastics.,2024,The Science of the total environment,
37914007,"Air pollution in major Polish cities in the period 2005-2021: Intensity, effects and attempts to reduce it.",2024,Environmental research,
37913979,Common and distinct pollution sources identified from ambient PM(2.5) concentrations in two sites of Los Angeles Basin from 2005 to 2019.,2024,"Environmental pollution (Barking, Essex : 1987)",
37871816,Application of ADMS-Urban for an area with a high contribution of residential heating emissions - model verification and sensitivity study for PM(2.5).,2024,The Science of the total environment,
37797768,Synergic use of in-situ and remote sensing techniques for comprehensive characterization of aerosol optical and microphysical properties.,2024,The Science of the total environment,
37793445,The ecotoxicity and mutagenicity of fire water runoff from small-scale furnishing materials fire tests.,2024,The Science of the total environment,
37681548,Long-term effects of extreme smoke exposure on COVID-19: A cohort study.,2024,"Respirology (Carlton, Vic.)",
37454774,Is pulmonary inflammation a valid predictor of particle induced lung pathology? The case of amorphous and crystalline silicas.,2024,Toxicology letters,
37365883,Can l-ascorbic acid and trans-resveratrol protect HaCaT cells from fine particulate matter toxicity?,2024,Photochemistry and photobiology,
37356040,Lifetime losses due to cardiovascular and respiratory diseases attributable to air pollution in polluted and unpolluted areas.,2024,International journal of environmental health research,
37351744,Species-specific influence of powdery mildew mycelium on the efficiency of PM accumulation by urban greenery.,2024,Environmental science and pollution research international,
36806657,Issues in the inhalation toxicity testing and hazard assessment for low density particulate materials such as synthetic amorphous silica (SAS).,2024,Toxicology letters,
